Carimbo de data/hora,Razão Social Cliente,CNPJ do Cliente,Valor do boleto:,Data de Vencimento,Tipo de produto:,Motivo:,QUEM SOLICITOU,Cliente novo?,Obsevações,Emissão por qual CNPJ?,Endereço de e-mail
1/6/26 9:24,CAMARA DE INDUSTRIA COMERCIO SERVICOS E AGROPECUARIA DE SAO MARCOS,90.480.336/0001-91,"R$ 1.594,72",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,COOPERATIVA TRITICOLA CACAPAVANA LTDA - COTRISUL,87.678.132/0001-55,"R$ 6.429,91",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,DO VALE COMERCIO DE PNEUMATICOS LTDA,08.713.358/0001-73,"R$ 209,98",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,GENERAL COAT PINTURA INDUSTRIAL LTDA,09.451.565/0001-60,"R$ 992,46",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,11.734.998/0001-74,"R$ 34,99",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,TIM,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,MULTIRISCO ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA,92.872.324/0001-38,"R$ 494,91",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,PAGLIARIN E CIA LTDA,97.168.066/0001-27,"R$ 219,85",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,SONDA TRANSPORTES SA,88.584.875/0001-29,"R$ 669,55",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,T F CARLET,30.219.383/0001-54,"R$ 379,95",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,VITIVINICOLA JOLIMONT LTDA,88.212.881/0001-55,"R$ 689,93",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,ORDEM DOS ADVOGADOS DO BRASIL SECCAO DO RIO G DO SUL,87.019.584/0012-88,"R$ 29,99",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,COOPERATIVA DE CREDITO E INVESTIMENTO LIBERDADE - SICREDI LIBERDADE,88.530.142/0001-01,"R$ 389,70",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,EMERGENCIALL EMERGENCIAS AMBIENTAIS LTDA,05.441.968/0001-77,"R$ 861,55",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,CASA DO MEL,02.174.156/0001-14,"R$ 44,99",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
1/6/26 9:24,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 119,97",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUI,97.839.922/0001-29,"R$ 9.977,15",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,TRIAUTO PROTECAO VEICULAR,36.552.203/0001-38,797.16,1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,DEMANDER FORCA DE VENDAS LTDA (VIVO),37.868.347/0001-60,418.89,1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,VIVO,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,CERAMICA BARRINHA LTDA,94.645.140/0001-60,189.96,1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,INNTEC SERVICOS EM TECNOLOGIA LTDA,18.717.160/0001-11,3458.19,1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,BIERDRON CERVEJARIA LTDA,30.582.762/0001-04,"R$ 117,94",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,ASSOCIACAO LAJEADENSE DOS POLICIAIS RODOV FEDERAIS,01.544.678/0001-06,"R$ 2.534,58",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,DREBES CIA LTDA (VIVO),96.662.168/0001-31,"R$ 12.754,02",2/10/2026,Aluguel,Emissão nota e boleto,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,DREBES CIA LTDA (TIM),96.662.168/0001-31,"R$ 45,99",30/02/2026,Aluguel,Emissão nota e boleto,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,JBL INSTALACOES ELETRICAS LTDA,58.653.558/0001-56,75.94,1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,11.734.998/0001-74,"R$ 869,79",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,VIVO,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/8/2026,ASSOCIACAO DOS GESTORES DA CAIXA ECONOMICA FEDERAL DE SANTA CATARINA - AGECEF,80.675.077/0001-09,"R$ 584,20",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,Enviar também pelo whats (LUCAS 48991194202),,jenifer@luxustelefonia.com.br
1/8/2026,ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS DE ILOPOLIS,04.225.061/0001-08,"R$ 1.051,00",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,GF PNEUS COMERCIAL E DISTRIBUIDORA LTDA (MATRIZ),93.894.954/0001-76,"R$ 1.396,48",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,ASSOCIAÇÃO DOS PROFESSORES DA FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO / APROFUPF,89.764.765/0001-01,"R$ 677,74",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,CARGNELUTTI E CIA LTDA,98.417.645/0001-29,"R$ 190,89",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,COOPERFAR-COOP DOS TRANSPORTADORES AUTONOMOS DE FARROUPILHA LTDA,07.312.871/0001-90,"R$ 1.569,30",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,DISMARIA DISTRIBUIDORA SANTA MARIA LTDA,05.985.207/0001-86,"R$ 300,00",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,SINDICATO DOS SERVIDORES MUNICIPAIS DE TORRES,90.800.590/0001-20,"R$ 889,27",2/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,SINDICATO DOS SERVIDORES PUBLICOS MUNICIPAIS DE DOM PEDRO DE ALCANTARA - SISPDOPA,05.892.630/0001-31,"R$ 346,00",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,COOP. ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO BANRISUL - BANRICOOP,92.935.741/0001-82,"R$ 3.795,59",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,ASSOCIAÇÃO DOS POLICIAIS RODOVIÁRIOS FEDERAIS DE SANTA MARIA - APRF/SM,94.446.887/0001-90,"R$ 224,00",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,SINDILOJAS - SINDICATO DO COMERCIO VAREJISTA DE CAXIAS DO SUL,88.662.770/0001-40,"R$ 282,00",1/21/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,COOPERATIVA AGRÍCOLA MISTA IBIRAIARAS LTDA - COOPIBI,91.061.036/0001-30,"R$ 789,28",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,METALTECSS REVESTIMENTO DE METAIS LTDA,00.925.102/0001-18,"R$ 250,00",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,SOLTEC,23.294.509/0001-90,"R$ 235,20",2/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,GRUPO K1 S.A.,00.912.882/0001-61,"R$ 257,90",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/8/2026,AFBNDES,33.984.550/0001-41,"R$ 9.770,53",1/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,ASSOCIAÇÃO DOS TRABALHADORES NA AGRICULTURA FAMILIAR DA ENCOSTA SUPERIOR DO NORDESTE-CRESOL,15.039.387/0001-67,"R$ 1.411,76",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,F POZOBON SISTEMAS DE HIGIENE E LIMPEZA - EIRELI,07.119.129/0001-62,"R$ 544,66",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,HOSPITAL DE CARIDADE DE SANTIAGO,96.136.643/0001-36,"R$ 334,61",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,JOSE ERY CAMARGO - ADVOGADOS ASSOCIADOS,04.469.994/0001-40,"R$ 170,38",1/22/2026,gerenciamento,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,RDP ENERGIA - REJAILE,00.209.895/0001-79,"R$ 350,00",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,ROSINEI VEDOY DA SILVA,10.855.207/0001-00,"R$ 4.000,00",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,SINDICATO DOS TRABALHADORES AGRICULTORES FAMILIARES DE FARROUPILHA - SINTRAFAR,89.849.608/0001-07,"R$ 277,89",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/11/2026,SINDICATO DOS TRABALHADORES RURAIS DE COLINAS,02.180.326/0001-73,"R$ 604,00",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/12/2026,GLORY,10.204.892/0001-04,"R$ 198,90",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,SINDICATO DOS FUNCIONÁRIOS MUNICIPAIS DE SOBRADINHO,92.000.918/0001-59,"R$ 858,10",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,MADEIREIRA HAAS LTDA,98.597.917/0001-10,"R$ 534,80",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,TRANSPORTADORA AUGUSTA SP LTDA,94.193.257/0012-03,"R$ 322,10",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,ASSOCIAÇÃO DOS GERENTES DO BANCO DO BRASIL AGEBB,56.270.895/0001-39,"R$ 778,80",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,SCHENKER DO BRASIL TRANSPORTES INTERNACIONAIS LTDA,43.823.079/0001-63,"R$ 2.620,10",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,EUGÊNIO FRIEDRICH-ME,89.690.556/0001-60,"R$ 1.690,15",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,AUTOMATECH SISTEMAS DE AUTOMAÇÃO LTDA,03.385.913/0001-61,"R$ 374,90",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
